title,release_date,release_year,revenue,genres
King Kong,1933-04-07,1933,10000000,"['Action', 'Adventure', 'Drama', 'Horror']"
About a Boy,2002-04-26,2002,129000000,"['Drama', 'Comedy', 'Romance']"
The Killing,1956-05-08,1956,0,"['Drama', 'Action', 'Thriller', 'Crime']"
Pocketful of Miracles,1961-12-18,1961,5000000,"['Comedy', 'Drama']"
The War of the Roses,1989-12-08,1989,0,"['Comedy', 'Drama', 'Thriller']"
Ghost,1990-07-12,1990,505000000,"['Fantasy', 'Drama', 'Thriller', 'Mystery', 'Romance']"
Willy Wonka & the Chocolate Factory,1971-06-29,1971,4000000,"['Music', 'Family', 'Fantasy']"
King Kong,2005-12-12,2005,550000000,"['Adventure', 'Drama', 'Action']"
Cat on a Hot Tin Roof,1958-02-17,1958,17570324,"['Drama', 'Romance']"
The King of Comedy,1982-12-18,1982,0,"['Comedy', 'Drama']"
Batman,1989-06-23,1989,411348924,"['Fantasy', 'Action']"
Batman Begins,2005-06-10,2005,374218673,"['Action', 'Crime', 'Drama']"
The Silence of the Lambs,1991-02-01,1991,272742922,"['Crime', 'Drama', 'Thriller']"
Fargo,1996-04-05,1996,60611975,"['Crime', 'Drama', 'Thriller']"
Underworld,2003-09-19,2003,95708457,"['Fantasy', 'Action', 'Thriller']"
The Shawshank Redemption,1994-09-23,1994,28341469,"['Drama', 'Crime']"
Amadeus,1984-10-26,1984,51973029,"['Drama', 'History', 'Music']"
Terminator 2: Judgment Day,1991-07-03,1991,520000000,"['Action', 'Thriller', 'Science Fiction']"
Strange Days,1995-10-13,1995,7959291,"['Crime', 'Drama', 'Science Fiction', 'Thriller']"
The Apartment,1960-06-15,1960,25000000,"['Comedy', 'Drama', 'Romance']"
Pirates of the Caribbean: At World's End,2007-05-19,2007,961000000,"['Adventure', 'Fantasy', 'Action']"
Bull Durham,1988-06-15,1988,50888000,"['Comedy', 'Romance']"
High Noon,1952-03-27,1952,8000000,['Western']
Casablanca,1942-11-26,1942,10462500,"['Drama', 'Romance']"
Barton Fink,1991-08-01,1991,6153939,"['Comedy', 'Drama']"
Riding Giants,2004-07-09,2004,3166000,['Documentary']
Dave Chappelle's Block Party,2005-09-12,2005,11718595,"['Comedy', 'Documentary', 'Music']"
A River Runs Through It,1992-10-09,1992,43440294,['Drama']
Desert Hearts,1985-10-01,1985,2400000,"['Drama', 'Romance']"
Terminator 3: Rise of the Machines,2003-07-02,2003,435000000,"['Action', 'Thriller', 'Science Fiction']"
Meet Joe Black,1998-11-12,1998,142940100,"['Fantasy', 'Drama', 'Mystery']"
Ocean's Thirteen,2007-06-07,2007,311312624,"['Crime', 'Thriller']"
Ocean's Eleven,1960-02-17,1960,0,"['Thriller', 'Music', 'Comedy', 'Crime']"
Rio Bravo,1959-03-17,1959,5800000,['Western']
Notorious,1946-08-15,1946,24464742,"['Thriller', 'Drama', 'Romance']"
Beverly Hills Cop III,1994-05-24,1994,119208989,"['Action', 'Comedy', 'Crime']"
Broken Flowers,2005-05-17,2005,45742101,"['Comedy', 'Drama', 'Mystery', 'Romance']"
Bruce Almighty,2003-05-23,2003,484572835,"['Fantasy', 'Comedy']"
Once Upon a Time in America,1984-05-23,1984,0,"['Drama', 'Crime']"
Catwoman,2004-07-22,2004,82102379,"['Action', 'Fantasy']"
"Faster, Pussycat! Kill! Kill!",1965-08-06,1965,0,"['Action', 'Crime']"
