title,release_date,release_year,revenue,genres
The Adventurer,1917-10-22,1917,0,['Comedy']
Shania Twain: Up Live in Chicago,2003-08-19,2003,0,['Music']
Sylvia Scarlett,1935-12-11,1935,0,"['Comedy', 'Drama', 'Romance']"
Repo Men,2010-03-18,2010,18409891,"['Action', 'Science Fiction', 'Thriller', 'Crime']"
Intermezzo: A Love Story,1939-10-05,1939,0,"['Drama', 'Romance']"
The Princess Comes Across,1936-05-22,1936,0,"['Comedy', 'Mystery', 'Romance', 'Thriller']"
The Pool Boys,2011-09-11,2011,0,['Comedy']
Sesame Street: Sing Yourself Silly!,1990-01-01,1990,0,"['Music', 'Family']"
Such is Life,2004-01-01,2004,0,"['Documentary', 'Music']"
The Tuskegee Airmen,1995-08-25,1995,0,"['TV Movie', 'Drama', 'History', 'War']"
Finding Bliss,2009-01-01,2009,0,['Comedy']
Ever Since Eve,1937-07-15,1937,0,"['Comedy', 'Romance']"
For Pete's Sake,1974-06-26,1974,0,"['Action', 'Comedy', 'Romance']"
History Is Made at Night,1937-03-05,1937,0,"['Romance', 'Drama']"
City of Ghosts,2002-01-01,2002,0,['Thriller']
The Land Before Time XII: The Great Day of the Flyers,2006-02-27,2006,0,"['Animation', 'Family', 'Science Fiction']"
Too Late the Hero,1970-05-20,1970,0,"['Drama', 'Action', 'War']"
The Split,1968-11-04,1968,0,"['Action', 'Crime']"
The Devil's Brigade,1968-05-15,1968,0,"['War', 'Action']"
Who'll Stop the Rain,1978-08-02,1978,0,"['War', 'Drama', 'Thriller', 'Crime', 'Action']"
Midnight Ride,1990-01-01,1990,0,"['Thriller', 'Action', 'Horror']"
Emperor of the North,1973-05-23,1973,0,"['Adventure', 'Drama', 'Action', 'Thriller']"
"Reuben, Reuben",1983-12-19,1983,0,"['Drama', 'Comedy', 'Romance']"
The Sicilian,1987-10-23,1987,5406879,['Drama']
King Kong Lives,1986-11-21,1986,4711220,"['Action', 'Horror']"
Gray Lady Down,1978-03-10,1978,5438927,"['Thriller', 'Adventure', 'History', 'Drama']"
Mrs. Soffel,1984-12-26,1984,4385312,"['Drama', 'Romance']"
Art Heist,2004-01-01,2004,0,"['Action', 'Crime', 'Thriller']"
Shining Through,1992-01-31,1992,21621000,"['Drama', 'Romance', 'Thriller']"
Dante's Inferno: An Animated Epic,2010-02-09,2010,0,"['Action', 'Adventure', 'Animation', 'Horror']"
The Who: at Kilburn 1977,2009-11-18,2009,0,['Music']
Bluebeard's Eighth Wife,1938-03-18,1938,0,"['Comedy', 'Romance']"
Saboteur,1942-04-24,1942,0,"['Thriller', 'War']"
Without Love,1945-01-01,1945,0,"['Romance', 'Comedy']"
Slippery Slope,2006-10-06,2006,0,"['Comedy', 'Romance']"
The Caretaker,2008-01-01,2008,0,['Horror']
The Wedding Night,1935-03-08,1935,0,"['Drama', 'Romance']"
Breaking Point,2009-12-04,2009,0,"['Action', 'Adventure', 'Drama', 'Thriller']"
Hurricane Season,2009-12-08,2009,1000000,['Drama']
Blast of Silence,1961-03-31,1961,0,"['Action', 'Crime', 'Drama', 'Thriller']"
Death Toll,2008-04-15,2008,0,"['Action', 'Adventure', 'Thriller']"
Dead Noon,2009-02-03,2009,0,"['Horror', 'Western']"
Hacking Democracy,2006-01-01,2006,0,"['Documentary', 'Crime']"
Timerider: The Adventure of Lyle Swann,1982-12-11,1982,0,"['Action', 'Science Fiction', 'Western']"
Wooly Boys,2001-01-01,2001,0,"['Action', 'Comedy', 'Drama']"
Foxes,1980-02-29,1980,4400000,"['Drama', 'Thriller']"
The Night Strangler,1973-01-16,1973,0,"['TV Movie', 'Horror', 'Mystery', 'Crime']"
Son of Dracula,1943-10-05,1943,0,"['Fantasy', 'Horror']"
Carny,1980-05-23,1980,0,['Drama']
The Domino Principle,1977-03-23,1977,0,"['Drama', 'Crime']"
Hopscotch,1980-09-26,1980,0,"['Action', 'Adventure', 'Comedy', 'Thriller']"
Let's Get Harry,1986-01-01,1986,0,"['Action', 'Adventure']"
Pulse,1988-03-04,1988,0,"['Horror', 'Science Fiction']"
Making Mr. Right,1987-01-01,1987,0,"['Comedy', 'Romance']"
The January Man,1989-01-13,1989,0,"['Crime', 'Mystery', 'Thriller']"
Brighton Beach Memoirs,1986-01-01,1986,0,"['Comedy', 'Drama', 'Romance']"
The Doberman Gang,1972-01-01,1972,5000000,"['Action', 'Comedy', 'Crime']"
Unforgivable Blackness: The Rise and Fall of Jack Johnson,2004-01-01,2004,0,['Documentary']
Forced Vengeance,1982-07-30,1982,6660333,"['Action', 'Adventure', 'Thriller']"
Beautiful Joe,2000-06-09,2000,0,"['Drama', 'Action', 'Comedy', 'Thriller', 'Romance']"
The Scalphunters,1968-04-02,1968,0,"['Action', 'Comedy', 'Western']"
Ten Seconds to Hell,1959-07-17,1959,0,"['Romance', 'Drama', 'War', 'Action']"
War Hunt,1962-05-01,1962,0,"['Action', 'Drama', 'War']"
Men of Crisis: The Harvey Wallinger Story,1971-12-31,1971,0,"['Comedy', 'TV Movie', 'Documentary']"
The Secret War of Harry Frigg,1968-02-29,1968,0,"['Comedy', 'War']"
Company Business,1991-09-06,1991,1501785,"['Action', 'Thriller']"
A Dry White Season,1989-01-01,1989,0,"['Drama', 'Mystery']"
The Believers,1987-06-09,1987,18753438,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']"
True Confessions,1981-09-25,1981,0,"['Crime', 'Drama']"
Panic in the Streets,1950-06-12,1950,0,"['Drama', 'Thriller', 'Crime']"
Cohen and Tate,1988-01-01,1988,64227,"['Crime', 'Thriller']"
The Seven-Ups,1973-01-01,1973,0,"['Action', 'Thriller', 'Drama', 'Crime']"
The Pope of Greenwich Village,1984-06-22,1984,0,"['Drama', 'Action', 'Comedy', 'Crime']"
The Hospital,1971-12-14,1971,0,"['Mystery', 'Comedy', 'Drama']"
Married to It,1993-03-26,1993,0,"['Comedy', 'Romance']"
Vincent,1982-01-01,1982,0,"['Animation', 'Fantasy']"
The Chocolate War,1988-11-18,1988,303624,['Drama']
Attack,1956-09-19,1956,0,"['Action', 'Drama', 'War']"
The Little Drummer Girl,1984-10-19,1984,0,['Thriller']
"Toot, Whistle, Plunk and Boom",1953-11-10,1953,0,['Animation']
Walking Across Egypt,1999-01-01,1999,0,"['Drama', 'Comedy', 'Family']"
The Mark of Zorro,1940-11-08,1940,0,"['Action', 'Adventure', 'Drama', 'Romance', 'Western']"
Bob the Builder On Site: Houses & Playgrounds,2008-08-26,2008,0,"['Animation', 'Family']"
Dare,2009-11-13,2009,18088,"['Drama', 'Thriller']"
Category 6: Day of Destruction,2004-11-14,2004,0,"['Action', 'Drama']"
Together Again,1944-12-23,1944,0,"['Comedy', 'Romance']"
Soccer Dog: The Movie,1999-01-01,1999,0,"['Comedy', 'Family']"
Snowball Express,1972-01-01,1972,0,"['Comedy', 'Family']"
Barquero,1970-08-20,1970,0,"['Action', 'Western']"
Billy Two Hats,1974-03-07,1974,0,['Western']
The Proposition,1998-03-26,1998,0,"['Drama', 'Romance']"
Body Parts,1991-08-02,1991,0,"['Horror', 'Thriller']"
Starchaser: The Legend of Orin,1985-01-01,1985,3360800,"['Adventure', 'Animation', 'Family', 'Science Fiction']"
Space Mutiny,1988-01-01,1988,0,"['Romance', 'Adventure', 'Science Fiction']"
Comrade X,1940-12-13,1940,0,"['Comedy', 'Drama']"
"Dance, Girl, Dance",1940-08-30,1940,0,"['Music', 'Romance', 'Comedy']"
Michael Bublé Meets Madison Square Garden,2009-06-16,2009,0,"['Documentary', 'Music']"
Hey Good Lookin',1982-10-01,1982,0,"['Animation', 'Comedy', 'Drama']"
The Killer That Stalked New York,1950-12-01,1950,0,['Thriller']
Quantum Apocalypse,2010-02-24,2010,0,"['TV Movie', 'Science Fiction']"
Daydreamer,2007-01-01,2007,0,"['Drama', 'Mystery', 'Thriller']"
"Dude, Where's the Party?",2004-05-24,2004,0,['Comedy']
Blade: House of Chthon,2008-01-01,2008,0,"['Action', 'Horror', 'TV Movie']"
The Insatiable,2007-01-01,2007,0,"['Comedy', 'Horror']"
Rambling Rose,1991-09-10,1991,6266621,['Drama']
American Desi,2001-01-01,2001,0,"['Drama', 'Comedy', 'Romance']"
Fortune,2009-11-05,2009,0,['Drama']
The Indian,2007-01-01,2007,0,['Drama']
The Palm Beach Story,1942-11-07,1942,0,"['Comedy', 'Romance']"
David Cross: Let America Laugh,2003-11-04,2003,0,"['Comedy', 'Documentary']"
Cradle Will Rock,1999-12-10,1999,0,['Drama']
Duel in the Sun,1946-12-31,1946,20400000,['Western']
"Easy Riders, Raging Bulls",2003-03-09,2003,0,['Documentary']
Dream for an Insomniac,1996-04-18,1996,24,"['Romance', 'Comedy', 'Drama']"
Cornered!,2008-01-01,2008,0,"['Comedy', 'Horror']"
Marci X,2003-08-22,2003,1675706,['Comedy']
The Navigator,1924-10-13,1924,0,"['Action', 'Comedy']"
"Dr. Black, Mr. Hyde",1976-01-01,1976,0,['Horror']
"Jay Cutler: New, Improved and Beyond",2004-03-04,2004,0,['Documentary']
Mi Vida Loca,1994-06-08,1994,0,"['Crime', 'Drama']"
The Cruise,1998-10-23,1998,0,['Documentary']
Gay Purr-ee,1962-10-24,1962,0,"['Animation', 'Drama', 'Music', 'Romance', 'Family']"
Worth Winning,1989-10-27,1989,0,"['Comedy', 'Romance']"
Stealing Home,1988-08-26,1988,7467504,"['Drama', 'Romance']"
Hugo Pool,1997-01-01,1997,0,"['Comedy', 'Romance']"
Cult,2007-03-09,2007,0,['Horror']
Stick,1985-04-26,1985,0,"['Adventure', 'Action', 'Drama', 'Crime']"
The Greatest,2009-01-17,2009,0,['Drama']
Green Plaid Shirt,1997-01-01,1997,0,['Drama']
Natural Enemy,1997-01-01,1997,0,"['Crime', 'Drama', 'Horror']"
Brain Donors,1992-04-17,1992,918239,['Comedy']
Heavy Metal in Baghdad,2007-09-08,2007,0,"['Documentary', 'Music']"
Two Girls and a Guy,1997-09-07,1997,2057193,"['Drama', 'Romance']"
Van Helsing's Curse: Live In Philly,2006-01-01,2006,0,['Music']
The Bad and the Beautiful,1952-12-25,1952,0,"['Drama', 'Romance']"
Coldblooded,1995-09-15,1995,0,"['Action', 'Comedy']"
All Access,2009-01-01,2009,0,['Documentary']
The Chauffeur,2008-01-01,2008,0,"['Horror', 'Thriller']"
"Kiss Me, Guido",1997-07-18,1997,0,['Comedy']
The Work and the Glory III: A House Divided,2006-11-22,2006,1325092,['Drama']
Soldier's Girl,2003-05-31,2003,0,"['TV Movie', 'Drama', 'Romance', 'Crime']"
Spartacus,2004-03-17,2004,0,"['TV Movie', 'Action', 'Drama', 'History']"
"Ah, L'Amour",1995-01-01,1995,0,"['Animation', 'Comedy']"
Billy's Balloon,1998-01-01,1998,0,['Animation']
Never Been Thawed,2005-03-15,2005,0,['Comedy']
It's a Great Feeling,1949-08-01,1949,0,"['Comedy', 'Music', 'Romance']"
End Game,2009-12-01,2009,0,"['Drama', 'Thriller']"
Jamie Foxx: I Might Need Security,2002-02-23,2002,0,['Comedy']
Portrait of Jennie,1948-12-25,1948,0,"['Drama', 'Fantasy', 'Romance']"
Rio Conchos,1964-10-28,1964,0,"['Action', 'Western']"
The Celluloid Closet,1996-01-30,1996,0,"['History', 'Documentary']"
The Flame and the Arrow,1950-07-09,1950,0,"['Adventure', 'Romance']"
The Endurance: Shackleton's Legendary Antarctic Expedition,2000-09-02,2000,2452566,"['Documentary', 'History']"
X: The Man with the X-Ray Eyes,1963-09-18,1963,0,"['Horror', 'Science Fiction', 'Thriller']"
At the Top of Brooklyn Bridge,1897-12-01,1897,0,['Documentary']
"Monkeyshines, No. 1",1890-11-21,1890,0,['Comedy']
Meet John Doe,1941-03-12,1941,0,"['Drama', 'Comedy', 'Romance']"
Putney Swope,1969-07-10,1969,0,"['Comedy', 'Drama']"
Edgeplay: A Film About The Runaways,2004-10-07,2004,80000,['Documentary']
Under the Same Moon,2008-03-20,2008,23311391,['Drama']
WWE Royal Rumble 1998,1998-01-18,1998,0,"['Action', 'Drama']"
Art of Submission,2009-01-15,2009,0,['Action']
The Beacon,2009-10-25,2009,0,"['Horror', 'Thriller']"
Uncle Nino,2003-12-05,2003,0,"['Comedy', 'Drama', 'Family']"
Babes in Toyland,1961-12-14,1961,0,"['Comedy', 'Fantasy', 'Family', 'Music']"
The Traveler,2010-10-01,2010,0,"['Horror', 'Thriller']"
The Offence,1973-01-11,1973,0,"['Crime', 'Drama']"
Bite the Bullet,1975-09-26,1975,0,"['Action', 'Western', 'Adventure']"
Ziegfeld Girl,1941-04-25,1941,0,"['Drama', 'Music', 'Romance']"
The Drowning Pool,1975-07-01,1975,0,"['Drama', 'Mystery', 'Thriller']"
Angela,1995-01-01,1995,0,"['Comedy', 'Drama']"
Night of the Ghouls,1984-01-01,1984,0,['Horror']
When the Road Bends: Tales of a Gypsy Caravan,2006-04-30,2006,0,"['Music', 'Documentary']"
Personal Velocity,2002-01-01,2002,0,['Drama']
Anus Magillicutty,2003-04-15,2003,0,"['Romance', 'Drama', 'Comedy']"
The MacKintosh Man,1973-01-01,1973,0,"['Action', 'Thriller']"
Three Ages,1923-09-24,1923,0,"['Drama', 'Comedy']"
The Hunted,1995-02-24,1995,0,"['Action', 'Thriller']"
Almost Normal,2005-05-26,2005,0,"['Science Fiction', 'Drama', 'Comedy']"
Two Rode Together,1961-07-26,1961,0,['Western']
Vanya on 42nd Street,1994-09-13,1994,0,"['Drama', 'Romance']"
Two of a Kind,1983-01-01,1983,23646952,"['Fantasy', 'Comedy', 'Science Fiction', 'Romance']"
Safe,1995-06-23,1995,0,['Drama']
Into Thin Air: Death on Everest,1997-11-09,1997,0,"['Adventure', 'Action', 'Drama']"
Rescue From Gilligan's Island,1978-10-14,1978,0,"['Comedy', 'TV Movie']"
The Window,1949-05-10,1949,0,"['Crime', 'Drama', 'Thriller']"
Ernest Scared Stupid,1991-10-11,1991,0,"['Horror', 'Comedy', 'Family']"
Gray's Anatomy,1996-09-11,1996,0,"['Comedy', 'Drama']"
Breaking Dawn,2004-10-16,2004,0,"['Mystery', 'Thriller', 'Horror']"
Misty,1961-06-04,1961,0,"['Drama', 'Family']"
Surf School,2006-09-01,2006,0,['Comedy']
Romero,1989-08-25,1989,0,"['Drama', 'History']"
Lamb Of God: Killadelphia,2005-01-01,2005,0,"['Documentary', 'Music']"
Lamb Of God: Walk With Me in Hell,2008-01-01,2008,0,"['Documentary', 'Music']"
Playboy: Farmer's Daughters,1986-01-01,1986,0,['Documentary']
Out of Season,2004-12-23,2004,0,"['Crime', 'Drama']"
Gas,2004-01-01,2004,0,['Comedy']
Doing Hard Time,2004-11-23,2004,0,"['Action', 'Adventure', 'Crime', 'Drama']"
Get Him to the Greek,2010-06-04,2010,90029656,['Comedy']
Wild in the Country,1961-06-15,1961,0,"['Drama', 'Romance']"
"Buona Sera, Mrs. Campbell",1968-12-16,1968,0,['Comedy']
Alan Davies: Urban Trauma,1998-11-04,1998,0,"['Comedy', 'Documentary']"
MVP: Most Valuable Primate,2000-08-11,2000,0,"['Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Romance']"
Bill Burr: Why Do I Do This?,2008-09-23,2008,0,['Comedy']
Revenge of the Zombies,1943-09-17,1943,0,['Horror']
The Vicious Kind,2009-01-17,2009,0,"['Comedy', 'Drama']"
Til There Was You,1997-05-30,1997,0,"['Comedy', 'Romance']"
"Sabrina, Down Under",1999-01-01,1999,0,"['TV Movie', 'Comedy', 'Fantasy']"
The Hours and Times,1991-01-01,1991,0,['Drama']
Alias Nick Beal,1949-03-04,1949,0,['Fantasy']
Apology for Murder,1945-09-27,1945,0,['Crime']
Jack Hunter and the Quest for Akhenaten's Tomb,2008-12-30,2008,0,['Adventure']
Catchfire,1990-04-03,1990,0,"['Drama', 'Action', 'Thriller', 'Romance']"
Backfire,1950-02-11,1950,0,['Mystery']
Bill Maher: But I'm Not Wrong,2010-02-18,2010,0,['Comedy']
The Terminal Man,1974-06-19,1974,0,"['Science Fiction', 'Thriller']"
Alice the Toreador,1925-01-01,1925,0,['Animation']
We're Not Dressing,1934-04-27,1934,0,"['Comedy', 'Music']"
Necronomicon,1993-11-01,1993,0,['Horror']
Other Men's Women,1931-01-17,1931,0,['Drama']
Mimic: Sentinel,2003-04-14,2003,0,"['Horror', 'Science Fiction', 'Thriller']"
Remarkable Power,2008-01-01,2008,0,['Comedy']
Go West,1925-11-01,1925,0,"['Comedy', 'Western']"
Deadly Blessing,1981-08-14,1981,0,"['Horror', 'Mystery', 'Thriller']"
The Heavenly Body,1944-03-23,1944,0,"['Comedy', 'Romance']"
Transfusion Alternatives - Documentary Series,2004-01-01,2004,0,['Documentary']
My Sister Eileen,1942-09-24,1942,0,['Comedy']
Murphy's Law,1986-04-18,1986,0,"['Action', 'Mystery', 'Thriller']"
Troll,1986-01-17,1986,5450815,"['Fantasy', 'Horror']"
Hell House,2001-09-12,2001,0,['Documentary']
Without Reservations,1946-05-13,1946,0,"['Comedy', 'Romance']"
Dishonored Lady,1947-05-16,1947,0,"['Crime', 'Drama']"
Enchantment,1948-12-25,1948,0,"['Drama', 'Romance']"
It Started with Eve,1941-09-26,1941,0,"['Comedy', 'Romance']"
Unfaithfully Yours,1948-12-10,1948,0,"['Comedy', 'Romance']"
Godspeed,2009-01-01,2009,0,"['Comedy', 'Drama', 'Family', 'Horror', 'Mystery', 'Thriller']"
Tea for Two,1950-09-02,1950,0,"['Comedy', 'Music', 'Romance']"
In Search of Santa,2004-11-23,2004,0,['Animation']
The Times of Harvey Milk,1984-10-07,1984,0,['Documentary']
16 Days in Afghanistan,2007-01-01,2007,0,"['Documentary', 'Drama']"
Xiu Xiu: The Sent-Down Girl,1998-02-19,1998,0,['Drama']
Chupacabra Terror,2005-01-29,2005,0,['Horror']
RSO [Registered Sex Offender],2008-03-01,2008,0,['Comedy']
Protocols Of Zion,2005-03-04,2005,0,['Documentary']
It's My Party,1996-03-22,1996,0,['Drama']
All or Nothing,2003-07-01,2003,0,"['Action', 'Documentary']"
The Living End,1992-08-21,1992,692585,"['Drama', 'Romance']"
Pre Pop,2004-09-01,2004,0,['Documentary']
For Love of Liberty: The Story of America's Black Patriots,2010-01-01,2010,0,['Documentary']
Real Life,1979-03-02,1979,0,['Comedy']
More American Graffiti,1979-08-03,1979,15014674,"['Comedy', 'Drama', 'War']"
Caught in a Cabaret,1914-04-27,1914,0,['Comedy']
Scanners III: The Takeover,1992-01-31,1992,0,"['Horror', 'Science Fiction', 'Action']"
"All About John Deere for Kids, Part 1",2004-10-01,2004,0,['Family']
Unspeakable,2003-12-01,2003,0,"['Horror', 'Thriller']"
Nora Roberts' Midnight Bayou,2009-03-28,2009,0,"['Drama', 'Romance', 'TV Movie']"
Men Boxing,1891-04-30,1891,0,"['Action', 'Documentary']"
Armitage III: Poly Matrix,1996-06-25,1996,0,"['Animation', 'Science Fiction', 'Thriller']"
Harlan County U.S.A.,1976-10-15,1976,0,['Documentary']
Mannheim Steamroller: Christmas Live,1997-11-11,1997,0,['Music']
The World's Greatest Athlete,1973-02-14,1973,0,"['Comedy', 'Family']"
Glitch,2008-08-19,2008,0,['Science Fiction']
A Patch of Blue,1965-12-10,1965,6792000,"['Drama', 'Romance']"
Done the Impossible,2006-07-28,2006,0,['Documentary']
Class Reunion,1982-10-29,1982,0,"['Comedy', 'Horror']"
Big Town,1947-05-23,1947,0,"['Crime', 'Drama']"
Greenfingers,2001-07-27,2001,1443067,['Comedy']
Chappaqua,1967-11-04,1967,0,['Drama']
Charlie Chan at the Circus,1936-03-27,1936,0,"['Crime', 'Mystery', 'Comedy', 'Thriller']"
Charlie Chan at the Race Track,1936-08-14,1936,0,"['Mystery', 'Comedy', 'Thriller', 'Crime']"
Charlie Chan at Treasure Island,1939-08-31,1939,0,"['Mystery', 'Thriller']"
City in Darkness,1939-11-15,1939,0,"['Crime', 'Drama', 'Thriller', 'Mystery']"
Charlie Chan in Egypt,1935-06-04,1935,0,['Mystery']
Charlie Chan in London,1934-09-12,1934,0,"['Crime', 'Drama', 'Mystery', 'Thriller', 'Comedy']"
Charlie Chan in Honolulu,1938-12-30,1938,0,"['Mystery', 'Crime', 'Drama', 'Comedy', 'Thriller']"
Charlie Chan in Paris,1935-01-21,1935,0,"['Comedy', 'Crime', 'Drama', 'Mystery', 'Thriller']"
Charlie Chan in Reno,1939-06-16,1939,0,"['Mystery', 'Thriller']"
Charlie Chan in Shanghai,1935-10-14,1935,0,['Mystery']
LEGO: The Adventures of Clutch Powers,2010-01-01,2010,0,"['Action', 'Adventure', 'Animation', 'Family']"
Pickup,1951-07-21,1951,0,"['Crime', 'Drama']"
Speedy Gonzales,1955-09-17,1955,0,"['Animation', 'Family', 'Comedy']"
Four Play,2001-09-02,2001,0,"['Comedy', 'Romance']"
Scaramouche,1952-05-08,1952,6746000,['Adventure']
Alabaster's Song,2005-10-04,2005,0,['Family']
Lightning Bug,2004-04-09,2004,0,"['Drama', 'Thriller', 'Horror']"
The Moment After,1999-07-04,1999,0,"['Science Fiction', 'Thriller']"
The Legend of Lucy Keyes,2006-02-01,2006,0,"['Drama', 'Horror', 'Thriller']"
Crazy Legs Conti: Zen and the Art of Competitive Eating,2004-05-04,2004,0,['Documentary']
Indian Summer,1993-04-23,1993,0,"['Comedy', 'Drama']"
Alligator,1980-07-02,1980,0,"['Horror', 'Science Fiction', 'Thriller']"
Amityville: A New Generation,1993-09-29,1993,0,['Horror']
Dracula,1979-07-20,1979,0,"['Horror', 'Romance']"
Lost in Alaska,1952-01-01,1952,0,['Comedy']
In the Navy,1941-05-30,1941,0,"['Comedy', 'Romance']"
Bickford Shmeckler's Cool Ideas,2006-06-02,2006,0,['Comedy']
The Swimmer,1968-05-15,1968,0,['Drama']
Ice Castles,2010-02-09,2010,0,['Drama']
The Avon Barksdale Story,2010-03-10,2010,0,"['Fantasy', 'Documentary', 'Science Fiction', 'Family']"
Pat and Mike,1952-06-13,1952,0,"['Comedy', 'Drama', 'Romance']"
Teenage Dirtbag,2009-10-20,2009,0,['Drama']
Heavy Petting,2007-10-20,2007,272371,"['Comedy', 'Romance']"
White Light/Black Rain: The Destruction of Hiroshima and Nagasaki,2007-08-06,2007,0,['Documentary']
Fool's Fire,1992-01-01,1992,0,['Drama']
Killing Emmett Young,2002-01-01,2002,0,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']"
Vivacious Lady,1938-08-31,1938,0,"['Comedy', 'Romance']"
Sweet Bird of Youth,1962-08-31,1962,0,"['Drama', 'Romance']"
Oleanna,1994-11-04,1994,124693,['Drama']
The Life and Times of Judge Roy Bean,1972-12-18,1972,0,"['Action', 'Comedy', 'Western']"
Rolling Kansas,2003-01-24,2003,0,['Comedy']
Frankenfish,2004-10-09,2004,0,"['TV Movie', 'Action', 'Horror', 'Comedy', 'Science Fiction', 'Thriller']"
Hells Angels on Wheels,1967-06-01,1967,0,"['Adventure', 'Drama', 'Action', 'Thriller', 'Crime']"
How Stella Got Her Groove Back,1998-08-14,1998,37672350,"['Comedy', 'Drama', 'Romance']"
Megalodon,2004-02-01,2004,0,['Action']
The Perfect You,2002-03-01,2002,0,"['Comedy', 'Romance']"
Bound by Lies,2005-02-02,2005,0,"['Drama', 'Thriller', 'Crime']"
Disney Princess: A Christmas of Enchantment,2005-11-01,2005,0,['Animation']
A Smile Like Yours,1997-08-27,1997,0,"['Comedy', 'Romance']"
Shiloh,1996-11-30,1996,0,"['Drama', 'Family']"
The Thirteenth Hour,1947-02-06,1947,0,"['Crime', 'Mystery']"
The Return of the Whistler,1948-03-18,1948,0,"['Crime', 'Mystery']"
It Takes Two,1995-11-17,1995,0,"['Comedy', 'Family', 'Romance']"
Funny Ha Ha,2002-09-20,2002,76901,"['Drama', 'Comedy']"
The Eighteenth Angel,1997-01-01,1997,0,"['Action', 'Adventure', 'Horror', 'Mystery', 'Thriller']"
Iowa,2005-04-22,2005,0,"['Crime', 'Drama']"
Charlie Chan's Secret,1936-01-17,1936,0,"['Crime', 'Mystery', 'Drama', 'Thriller']"
Going Hollywood,1933-12-22,1933,0,['Romance']
Paris Blues,1961-09-27,1961,0,"['Romance', 'Drama', 'Music']"
Oh Teacher,1927-09-16,1927,0,['Animation']
Trudell,2005-01-01,2005,0,['Documentary']
Crashing the Con,2009-07-01,2009,0,['Documentary']
A Hole in the Head,1959-09-15,1959,0,"['Comedy', 'Music']"
Scared Stiff,1953-04-27,1953,0,['Comedy']
Band of the Hand,1986-04-11,1986,4865912,"['Action', 'Crime', 'Drama']"
Guns N' Roses: Use Your Illusion I,1992-12-08,1992,0,['Music']
Smooth Talk,1985-11-17,1985,0,"['Drama', 'Romance']"
Beyond the Door III,1989-10-01,1989,0,['Horror']
Guns N' Roses: Use Your Illusion II,1992-12-08,1992,0,['Music']
National Lampoon's Movie Madness,1982-04-23,1982,0,['Comedy']
It's Pat,1994-08-26,1994,0,['Comedy']
"Get Smart, Again!",1989-02-26,1989,0,"['Action', 'Comedy', 'Family']"
Possession,2009-07-16,2009,0,"['Drama', 'Thriller', 'Romance']"
Wasting Away,2007-10-16,2007,0,"['Comedy', 'Horror']"
Desperately Seeking Seka,2002-08-01,2002,0,['Documentary']
Death Row,2006-10-14,2006,0,"['Comedy', 'Crime', 'Horror', 'Mystery']"
The Onion Field,1979-09-09,1979,0,"['Crime', 'Drama']"
Cheaper by the Dozen,1950-03-31,1950,0,"['Comedy', 'Family']"
The Burglar,1957-06-01,1957,0,"['Crime', 'Drama']"
The Genesis Code,2010-08-25,2010,0,"['Drama', 'Romance']"
Wall Street: Money Never Sleeps,2010-09-02,2010,134748021,"['Drama', 'Crime']"
Frankenweenie,1984-12-14,1984,0,"['Comedy', 'Family']"
Shortcut to Happiness,2003-02-19,2003,0,"['Fantasy', 'Drama', 'Comedy', 'Science Fiction']"
ivans xtc.,2000-09-12,2000,0,['Drama']
"Bill Hicks: Igby's, LA",1994-01-05,1994,0,['Comedy']
Turtles Forever,2009-11-21,2009,0,"['Science Fiction', 'Adventure', 'Animation', 'Action', 'Family', 'Comedy']"
Children of the Living Dead,2001-06-11,2001,0,"['Horror', 'Thriller']"
A Slight Case of Murder,1938-03-05,1938,0,"['Comedy', 'Crime']"
When Soldiers Cry,2010-02-02,2010,0,"['Action', 'War']"
The Appaloosa,1966-09-14,1966,0,['Action']
Moon Over Parador,1988-09-09,1988,0,"['Comedy', 'Romance']"
We Live in Public,2009-08-28,2009,0,['Documentary']
She's Out of My League,2010-03-11,2010,49779728,"['Comedy', 'Romance']"
Lucky Me,1954-04-09,1954,0,"['Comedy', 'Music', 'Romance']"
The Bank Job,2007-02-06,2007,0,"['Action', 'Adventure', 'Drama', 'Thriller']"
Bloodsucking Freaks,1976-11-02,1976,0,['Horror']
King of the Hill,1993-08-20,1993,0,['Drama']
Warning Sign,1985-08-23,1985,0,"['Drama', 'Science Fiction', 'Thriller']"
Feel Like Going Home,2003-09-28,2003,0,"['Documentary', 'Music']"
Everybody's All-American,1988-11-04,1988,0,"['Drama', 'Romance']"
Sorted,2000-10-06,2000,0,"['Drama', 'Mystery', 'Thriller']"
In Memory of My Father,2005-06-03,2005,0,"['Comedy', 'Drama']"
Pokémon: Destiny Deoxys,2004-07-22,2004,34300000,"['Adventure', 'Animation', 'Family', 'Fantasy']"
A Haunting In Connecticut,2002-01-01,2002,0,"['Horror', 'Thriller', 'Documentary']"
The Giant Gila Monster,1959-06-25,1959,0,"['Horror', 'Science Fiction']"
The Screaming Skull,1958-01-01,1958,0,"['Thriller', 'Horror']"
Ted Bundy,2002-11-22,2002,0,"['Crime', 'Drama', 'Horror']"
Road to Bali,1952-01-01,1952,0,['Comedy']
I Bury the Living,1958-07-01,1958,0,"['Mystery', 'Thriller']"
